,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
8755,FALSE POSITIVE,0,1,0,0,39.238141571,6.07183,439210.0,0.459,90.93,656.0,43.69,6599.0,4.35,1.234,969.3
8756,FALSE POSITIVE,1,0,0,0,53.7406575,47.2475,116720.0,0.386,25.44,398.0,5.93,5288.0,4.577,0.737,3568.1
8757,FALSE POSITIVE,0,1,0,0,7.436016459,4.16284,106530.0,0.433,31.39,968.0,207.61,6214.0,4.501,0.933,742.1
8758,FALSE POSITIVE,0,1,1,1,0.750737313,1.712,38.8,0.463,0.48,1603.0,1558.69,5151.0,4.602,0.761,13.4
8759,CANDIDATE,0,0,0,0,27.5837778,1.516,202.5,0.0221,11.03,1330.0,739.57,5092.0,2.945,7.913,8.5
8760,FALSE POSITIVE,0,1,0,0,14.361021578,13.2895,459880.0,0.003,45.9,594.0,29.44,5229.0,4.607,0.668,2599.0
8761,FALSE POSITIVE,0,1,0,0,2.570431263,5.49699,76826.0,1.054,50.18,1411.0,936.9,6244.0,4.473,0.971,822.9
8762,FALSE POSITIVE,0,1,0,0,6.64024496,6.03491,224330.0,0.756,74.4,1114.0,364.44,6085.0,4.293,1.215,2941.0
8763,FALSE POSITIVE,0,1,0,0,14.844240386,6.83577,83412.0,0.275,28.97,810.0,101.98,6161.0,4.367,0.988,4542.8
8764,FALSE POSITIVE,0,1,0,0,4.42158021,10.4532,61032.0,1.146,188.89,2565.0,10243.23,8026.0,3.65,3.461,370.6
8765,FALSE POSITIVE,0,1,0,0,25.321698729,4.45367,119590.0,0.954,56.62,655.0,43.39,6109.0,4.455,1.029,673.3
8766,CANDIDATE,0,0,0,0,3.14735789,3.643,51.8,0.03,3.45,2209.0,5635.4,5189.0,3.352,4.93,9.3
8767,FALSE POSITIVE,0,1,0,0,37.878483588,10.5972,222230.0,0.763,46.42,503.0,15.19,5985.0,4.603,0.758,1157.6
8768,FALSE POSITIVE,0,1,0,0,10.116144515,2.70314,58144.0,0.879,17.21,549.0,21.56,4717.0,4.737,0.519,1144.8
8769,FALSE POSITIVE,0,1,0,1,0.684496369,2.263,28.4,0.501,1.12,2913.0,17099.5,5800.0,3.866,2.053,16.3
8770,FALSE POSITIVE,0,1,0,0,1.953285321,1.67598,1520.3,1.312,151.56,2927.0,17363.68,6450.0,3.501,3.928,237.7
8771,FALSE POSITIVE,0,1,0,0,1.012174295,4.6617,323030.0,0.596,114.4,2737.0,13215.77,6987.0,4.096,1.716,596.0
8772,CANDIDATE,0,0,0,0,2.61090223,1.976,222.5,0.813,1.8,1323.0,724.16,5514.0,4.345,1.071,10.7
8773,CANDIDATE,0,0,0,0,17.6637979,6.194,67.9,0.695,2.98,1178.0,455.65,5734.0,3.591,3.405,9.7
8774,CANDIDATE,0,0,0,0,4.02664625,3.771,30.0,0.094,0.68,1318.0,715.51,6187.0,4.341,1.238,8.9
8775,CANDIDATE,0,0,0,0,5.1777226,8.275,41.7,0.025,0.63,1050.0,287.44,5854.0,4.469,0.979,6.1
8776,CANDIDATE,0,0,0,0,9.48814747,1.163,47.9,0.5693,0.73,856.0,126.75,5680.0,4.414,1.016,11.1
8777,CANDIDATE,0,0,0,0,5.06993245,3.241,93.6,0.3584,0.92,1053.0,291.11,5957.0,4.506,0.937,11.6
8778,FALSE POSITIVE,1,0,0,0,346.36642,14.94,148.2,0.45,1.57,314.0,2.3,6327.0,4.276,1.259,14.3
8780,FALSE POSITIVE,0,1,1,0,0.892061734,2.24307,75590.0,1.079,46.75,1724.0,2090.54,5561.0,4.512,0.855,398.1
8781,FALSE POSITIVE,0,1,0,1,3.471399214,5.07707,92285.0,1.014,89.62,1558.0,1390.76,6026.0,4.101,1.689,3230.4
8782,FALSE POSITIVE,0,1,0,0,4.176929219,5.2003,70355.0,0.984,31.35,938.0,183.08,5462.0,4.628,0.708,187.0
8785,CANDIDATE,0,0,0,0,8.1770751,4.608,44.3,0.456,0.83,1115.0,365.09,6501.0,4.281,1.209,10.6
8786,CANDIDATE,0,0,0,0,569.45051,9.63,425.4,0.001,1.96,225.0,0.61,6117.0,4.496,0.947,8.2
8787,FALSE POSITIVE,0,1,1,0,0.823014905,3.5426,850.5,1.247,22.17,1482.0,1136.75,4975.0,4.614,0.724,130.5
8788,FALSE POSITIVE,0,0,1,0,0.796815149,1.0727,55.9,0.524,10.23,5480.0,212663.45,4897.0,2.464,13.499,4.8
